Wall time,Step,Value
1770227757.1736891,0,-4.739999771118164
1770227788.3242843,1,-4.059999942779541
1770227816.586815,2,-5.300000190734863
1770227845.082299,3,-4.519999980926514
1770227874.0616663,4,-5.159999847412109
1770227904.0944517,5,-4.820000171661377
1770227932.5184128,6,-3.5999999046325684
1770227957.8923068,7,-4.71999979019165
1770227985.502662,8,-3.0199999809265137
1770228012.8593385,9,-5.659999847412109
1770228040.4462821,10,-5.860000133514404
1770228072.1026337,11,-4.659999847412109
1770228099.6683888,12,-5.039999961853027
1770228127.9034638,13,-6.539999961853027
1770228156.1601448,14,-5.5
1770228186.1734848,15,-5.78000020980835
1770228216.7487428,16,-4.239999771118164
1770228245.4516866,17,-5.739999771118164
1770228273.5440118,18,-5.5
1770228307.9321852,19,-5.360000133514404
1770228337.2076714,20,-4.920000076293945
1770228367.8279588,21,-3.7200000286102295
1770228395.176157,22,-5.0
1770228421.6656818,23,-4.920000076293945
1770228453.9687002,24,-6.71999979019165
1770228483.318659,25,-5.559999942779541
1770228509.8286293,26,-5.300000190734863
1770228537.3705564,27,-6.21999979019165
1770228562.8417373,28,-6.159999847412109
1770228593.4037046,29,-4.840000152587891
1770228616.0749888,30,-3.5999999046325684
1770228637.9711714,31,-4.179999828338623
1770228661.7299333,32,-4.639999866485596
1770228683.9716034,33,-5.340000152587891
1770228706.8914936,34,-5.21999979019165
1770228730.211803,35,-5.099999904632568
1770228756.4347117,36,-5.5
1770228781.383132,37,-4.71999979019165
1770228810.9102452,38,-4.5
1770228843.8773088,39,-4.619999885559082
1770228873.8899517,40,-2.9200000762939453
1770228902.8220189,41,-4.960000038146973
1770228933.0193715,42,-4.260000228881836
1770228961.143445,43,-4.059999942779541
1770228987.7490394,44,-4.840000152587891
1770229014.4056046,45,-4.699999809265137
1770229041.0097895,46,-4.480000019073486
1770229071.1988869,47,-4.900000095367432
1770229099.8534317,48,-5.599999904632568
1770229128.1347528,49,-4.760000228881836
1770229155.0451033,50,-5.019999980926514
1770229181.1422157,51,-3.0799999237060547
1770229210.0988636,52,-4.980000019073486
1770229242.350242,53,-4.820000171661377
1770229276.2338037,54,-5.019999980926514
1770229303.6981878,55,-4.400000095367432
1770229332.6276264,56,-4.340000152587891
1770229360.2801664,57,-4.820000171661377
1770229388.9895499,58,-5.380000114440918
1770229420.2186103,59,-3.259999990463257
1770229447.6797593,60,-6.5
1770229474.707655,61,-5.639999866485596
1770229502.2647429,62,-3.759999990463257
1770229530.066773,63,-4.71999979019165
1770229557.159612,64,-5.579999923706055
1770229584.4229639,65,-4.699999809265137
1770229616.6794899,66,-4.340000152587891
1770229648.3338883,67,-5.059999942779541
1770229684.975929,68,-3.880000114440918
1770229718.8623245,69,-4.039999961853027
1770229751.7289839,70,-4.679999828338623
1770229805.090425,71,-5.619999885559082
1770229845.6801252,72,-5.420000076293945
1770229875.389367,73,-4.519999980926514
1770229903.9460921,74,-4.420000076293945
1770229942.8000565,75,-3.4200000762939453
1770229975.9746265,76,-4.5
1770230006.7738605,77,-4.300000190734863
1770230031.8782396,78,-4.699999809265137
1770230054.0461032,79,-4.519999980926514
1770230078.2071064,80,-4.400000095367432
1770230110.1345084,81,-5.21999979019165
1770230146.2574267,82,-5.099999904632568
1770230181.120369,83,-4.21999979019165
1770230213.0986128,84,-3.5799999237060547
1770230248.0609355,85,-5.059999942779541
1770230285.139947,86,-5.78000020980835
1770230321.2467313,87,-4.940000057220459
1770230352.1559002,88,-5.059999942779541
1770230377.8772812,89,-3.700000047683716
1770230405.0553932,90,-3.2799999713897705
1770230440.1317136,91,-3.9600000381469727
1770230469.7078965,92,-3.759999990463257
1770230493.822,93,-6.300000190734863
1770230518.8607745,94,-5.699999809265137
1770230545.986133,95,-4.260000228881836
1770230574.3077579,96,-3.2200000286102295
1770230601.315874,97,-3.0
1770230627.2027142,98,-4.300000190734863
1770230653.6959739,99,-4.440000057220459
