Wall time,Step,Value
1771679279.8734286,5,97.91719055175781
1771679397.1699097,6,70.23058319091797
1771680007.3027723,11,69.1710433959961
1771680323.799124,14,71.01546478271484
1771680440.4355164,15,71.99900817871094
1771680802.379942,18,63.734676361083984
1771680914.3392522,19,72.2960205078125
1771681020.810205,20,82.93334197998047
1771681447.2421982,24,66.11970520019531
1771682733.8261857,36,66.7296142578125
1771683167.101267,40,87.28984069824219
1771683351.1962225,42,59.452911376953125
1771683534.541483,44,69.8797378540039
1771683642.0677326,45,65.18354797363281
1771683824.4160824,47,62.04134750366211
1771684399.3487532,53,87.3482666015625
1771684495.584387,54,83.8033676147461
1771684591.4887753,55,59.500823974609375
1771684685.4880884,56,56.21613693237305
1771684773.189329,57,65.8951187133789
1771685308.8406687,63,79.46058654785156
1771685489.3486469,65,54.16747283935547
1771685668.1725156,67,77.4215087890625
1771685760.2656326,68,60.85239791870117
1771686031.2482119,71,69.01067352294922
1771686119.7779477,72,54.26738739013672
1771686208.5671308,73,70.09419250488281
1771686297.1861796,74,60.140968322753906
1771686739.385085,79,56.52497100830078
1771687181.5616605,84,59.398475646972656
1771687447.85199,87,61.631988525390625
1771687536.043038,88,68.9837875366211
1771688068.6362064,94,79.85997009277344
1771688777.224229,102,70.91297912597656
1771689043.349706,105,55.81548309326172
1771689131.9458852,106,66.3287124633789
1771689753.8770864,113,54.80327224731445
1771690019.9620621,116,76.14334869384766
1771690194.7039213,118,69.09915924072266
1771690812.056419,125,54.98603057861328
1771690899.5640767,126,83.85517883300781
1771691167.7563128,129,65.25428009033203
1771691255.79737,130,69.55183410644531
1771691888.7858121,137,75.62858581542969
1771692070.0406568,139,75.96466827392578
1771692247.7958107,141,65.76445770263672
1771692335.9349117,142,60.58064651489258
1771692424.0557516,143,67.32715606689453
1771693042.0140698,150,61.28097152709961
1771693488.9090662,155,54.24748611450195
1771693666.903408,157,74.88050079345703
1771693754.6928427,158,69.9525375366211
1771694110.2431579,162,79.10607147216797
1771694556.1148667,167,58.43878936767578
1771694644.9146376,168,107.28170013427734
1771694912.414069,171,58.74959182739258
1771695443.438552,177,50.778568267822266
1771695530.879185,178,68.20442962646484
1771695707.27345,180,63.02975845336914
1771695971.5467398,183,72.38628387451172
1771696146.6447835,185,79.9361572265625
1771696234.8165474,186,69.41887664794922
1771696410.4257758,188,67.2113265991211
1771696589.9690714,190,73.45104217529297
1771696678.6301465,191,63.220550537109375
1771697297.1758206,198,73.75467681884766
1771698005.170083,206,93.23495483398438
1771698093.7942975,207,100.34749603271484
1771698183.6446652,208,90.22545623779297
1771698539.529846,212,67.60132598876953
1771699426.0914145,222,76.98860931396484
1771699514.1944253,223,89.53006744384766
