Wall time,Step,Value
1771679339.7602067,5,32.0
1771679474.3349097,6,36.0
1771680069.8504558,11,48.0
1771680393.7319407,14,12.0
1771680515.6381896,15,24.0
1771680868.7108335,18,28.0
1771680975.1706307,19,20.0
1771681081.9568195,20,36.0
1771681509.9883404,24,24.0
1771682795.4660509,36,32.0
1771683219.8107712,40,16.0
1771683402.7087739,42,20.0
1771683592.3003807,44,16.0
1771683693.3698416,45,48.0
1771683875.6923711,47,20.0
1771684452.0670538,53,44.0
1771684548.9068675,54,24.0
1771684644.192503,55,20.0
1771684736.0411124,56,24.0
1771684823.4593651,57,52.0
1771685359.2033567,63,20.0
1771685541.2139933,65,16.0
1771685721.0840645,67,40.0
1771685811.218238,68,24.0
1771686081.7159753,71,16.0
1771686170.4634907,72,20.0
1771686258.6398187,73,36.0
1771686348.1489418,74,12.0
1771686789.8229346,79,28.0
1771687232.326793,84,32.0
1771687498.7618093,87,24.0
1771687586.0906084,88,20.0
1771688118.7492335,94,12.0
1771688828.2580726,102,28.0
1771689094.2678812,105,20.0
1771689182.1995072,106,24.0
1771689803.7835789,113,16.0
1771690069.5233433,116,28.0
1771690245.135443,118,40.0
1771690862.2543213,125,4.0
1771690949.6461403,126,36.0
1771691218.4557724,129,32.0
1771691306.4976084,130,28.0
1771691939.522455,137,24.0
1771692121.2615108,139,16.0
1771692298.778642,141,28.0
1771692386.459718,142,28.0
1771692474.22465,143,36.0
1771693092.198791,150,40.0
1771693539.3663778,155,24.0
1771693717.1541908,157,32.0
1771693804.7034702,158,28.0
1771694160.6883051,162,20.0
1771694606.3430028,167,24.0
1771694695.7332745,168,24.0
1771694963.116129,171,24.0
1771695493.440174,177,12.0
1771695581.8993423,178,36.0
1771695757.8993518,180,24.0
1771696022.2860434,183,20.0
1771696196.9879308,185,48.0
1771696285.1657035,186,28.0
1771696461.631685,188,20.0
1771696640.6559684,190,32.0
1771696729.1261075,191,20.0
1771697347.891728,198,24.0
1771698055.4860215,206,36.0
